team_market,team_name,team_id,team_city,team_state,conference_name,conference_id
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,Salt Lake City,UT,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,Eugene,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,Pullman,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,Corvallis,OR,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,Stanford,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,Tuscon,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,Boulder,CO,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,Berkeley,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Tempe,AZ,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,Seattle,WA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,Los Angeles,CA,Pacific 12,04d5255d-b2dc-43df-9fa8-d296b0f8ccd7
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,Jacksonville,AL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,Charleston,IL,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,Cape Girardeau,MO,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,Murray,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,Martin,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,Nashville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,Clarksville,TN,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,Morehead,KY,Ohio Valley,0f3991a1-8c5f-4a8e-8fab-d0ebbb21c35c
